state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
25,34,2,0,1,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2
12,160,0,0,1,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3
26,64,2,0,1,0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1
27,59,1,0,0,28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2
28,65,0,0,1,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3
29,142,1,0,1,0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2
19,97,0,0,0,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1
9,52,1,0,1,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3
7,60,1,0,1,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1
13,10,1,0,1,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2
30,96,0,0,1,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2
7,81,1,0,1,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1
16,141,0,0,1,0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1
16,121,1,0,0,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3
2,125,1,0,1,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1
12,174,1,0,1,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1
31,116,0,0,0,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2
32,149,1,0,0,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3
33,38,1,0,1,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2
34,40,0,0,0,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2
19,43,0,1,1,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0
35,113,1,1,1,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0
30,126,1,0,1,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1
14,150,2,0,1,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4
1,138,1,0,1,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3
35,162,2,0,0,46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0
36,147,2,0,1,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3
37,90,0,0,1,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1
20,85,0,0,1,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0
35,50,0,0,1,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1
38,82,0,0,1,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0
11,144,1,0,1,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4
35,46,0,0,1,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2
24,70,1,0,1,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1
6,144,0,0,1,0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1
27,116,0,1,1,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3
23,70,0,0,0,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1
39,128,2,0,0,29,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0
7,94,1,0,1,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4
6,111,2,0,1,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1
40,74,0,0,0,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2
1,128,0,0,1,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1
38,82,2,0,1,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,1
5,155,0,0,1,0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0
25,80,0,0,1,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1
41,78,0,0,1,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3
17,90,0,0,1,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3
10,73,0,0,1,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0
17,99,0,0,1,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4
42,120,1,0,1,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1
12,77,0,0,1,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2
9,98,2,0,0,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4
3,108,0,0,1,0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0
40,95,1,0,1,0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1
7,122,1,0,1,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1
17,95,1,0,1,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4
28,36,2,0,0,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2
36,93,2,0,0,21,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1
30,157,1,0,1,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3
28,120,1,0,1,0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1
43,98,1,0,1,0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4
29,125,1,0,1,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1
17,63,0,0,1,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1
41,36,2,1,0,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0
1,64,2,0,1,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1
