state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_calls,total_minutes,ratio_calls,ratio_minutes,avg_day_minutes,avg_eve_minutes,avg_night_minutes,total_local_charge,ratio_charge
30,96,0,0,1,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,252,656.2,0.01984126984126984,0.014172508381590978,1.66875,2.7864583333333335,2.3802083333333335,60.25,0.04165975103734439
7,81,1,0,1,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,250,695.0,0.012,0.014676258992805754,2.1666666666666665,3.077777777777778,3.3358024691358024,63.19,0.04351954423168223
16,141,0,0,1,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,288,447.7,0.006944444444444444,0.017869108778199687,0.9,1.2765957446808511,0.998581560283688,43.21000000000001,0.049988428604489696
16,121,1,0,0,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,283,454.9,0.01060070671378092,0.012750054957133437,1.6396694214876033,0.6223140495867768,1.4975206611570246,48.279999999999994,0.032518641259320635
2,125,1,0,1,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,324,596.0,0.024691358024691357,0.020134228187919462,1.8344,1.4192,1.5144000000000002,62.58,0.051773729626078624
12,174,1,0,1,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,245,528.6,0.0163265306122449,0.021566401816118047,1.104022988505747,0.9764367816091954,0.957471264367816,54.599999999999994,0.05641025641025642
31,116,0,0,0,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,331,613.1,0.00906344410876133,0.01892024139618333,2.3155172413793106,1.536206896551724,1.4336206896551724,68.28999999999999,0.045833943476350864
32,149,1,0,0,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,209,634.0,0.014354066985645933,0.019873817034700314,1.2127516778523488,1.2604026845637584,1.7818791946308725,58.629999999999995,0.057990789698106775
33,38,1,0,1,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,301,453.1,0.019933554817275746,0.01809755020966674,3.452631578947368,4.286842105263158,4.184210526315789,43.3,0.05103926096997691
34,40,0,0,0,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,264,531.7,0.01893939393939394,0.011660710927214595,3.7024999999999997,4.2375,5.3525,49.220000000000006,0.03392929703372612
19,43,0,1,1,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,276,622.1,0.014492753623188406,0.014949365053849865,5.848837209302325,4.948837209302326,3.6697674418604653,67.94999999999999,0.036938925680647536
35,113,1,1,1,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,351,460.90000000000003,0.022792022792022793,0.018008244738555,1.1079646017699116,1.8265486725663718,1.1442477876106196,44.64,0.05017921146953405
30,126,1,0,1,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,210,582.0,0.004761904761904762,0.013402061855670102,1.6793650793650794,1.7214285714285715,1.2182539682539681,61.31999999999999,0.034409654272667976
14,150,2,0,1,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,311,496.6,0.00964630225080386,0.02778896496173983,1.1926666666666668,1.1273333333333333,0.9906666666666666,51.47,0.07246939965028172
1,138,1,0,1,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,280,707.6,0.025,0.01667608818541549,1.7521739130434784,1.2355072463768115,2.139855072463768,68.89,0.04630570474669763
35,162,2,0,0,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,242,667.7,0.008264462809917356,0.018121911037891267,1.3882716049382717,1.1617283950617283,1.5716049382716049,65.69,0.049779266250570865
36,147,2,0,1,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,277,570.0,0.01444043321299639,0.014035087719298246,1.691156462585034,1.0129251700680273,1.1734693877551021,62.68,0.03446075303126994
37,90,0,0,1,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,368,582.5,0.010869565217391304,0.012532188841201716,2.2600000000000002,2.5188888888888887,1.6933333333333334,60.709999999999994,0.03244934936583759
20,85,0,0,1,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,302,581.2,0.009933774834437087,0.02064693737095664,2.774117647058824,1.8494117647058823,2.2141176470588233,61.92,0.05232558139534884
35,50,0,0,1,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,273,561.8,0.007326007326007326,0.010857956568173727,3.142,4.466,3.628,53.849999999999994,0.030640668523676882
38,82,0,0,1,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,282,751.4000000000001,0.014184397163120567,0.01557093425605536,3.6621951219512194,2.207317073170732,3.2939024390243907,78.59,0.040208677948848456
11,144,1,0,1,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,301,311.7,0.023255813953488372,0.02630734680782804,0.4277777777777778,0.5354166666666667,1.2013888888888888,24.81,0.08907698508665861
35,46,0,0,1,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,289,556.0,0.010380622837370242,0.01474820143884892,4.654347826086957,3.573913043478261,3.858695652173913,58.36,0.037868403015764225
24,70,1,0,1,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,276,554.0,0.007246376811594203,0.02707581227436823,2.431428571428571,2.217142857142857,3.2657142857142856,52.41,0.07727532913566114
6,144,0,0,1,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,292,728.6,0.00684931506849315,0.01811693659072193,1.3965277777777778,2.107638888888889,1.5555555555555556,70.07,0.05080633652062224
27,116,0,1,1,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,292,698.7,0.017123287671232876,0.0180334907685702,1.856896551724138,1.7655172413793105,2.4008620689655173,66.56,0.05108173076923077
23,70,0,0,0,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,267,731.9,0.0149812734082397,0.013389807350730976,3.5642857142857145,3.71,3.181428571428571,74.51,0.03556569587974768
39,128,2,0,0,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,268,728.2,0.026119402985074626,0.011809942323537489,1.40078125,1.76484375,2.5234375,64.22,0.03612581750233572
7,94,1,0,1,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,290,502.5,0.017241379310344827,0.015920398009950248,1.6797872340425533,1.648936170212766,2.0170212765957447,48.55,0.04449021627188466
6,111,2,0,1,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,292,605.2,0.00684931506849315,0.01982815598149372,1.9306306306306307,1.8783783783783783,1.6432432432432433,62.36,0.05195638229634381
40,74,0,0,0,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,245,479.6,0.036734693877551024,0.022727272727272728,2.0824324324324324,1.6675675675675676,2.731081081081081,45.78,0.06422018348623854
1,128,0,0,1,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,286,694.4,0.013986013986013986,0.020017281105990783,1.85859375,1.934375,1.63203125,70.89,0.05289885738468049
38,82,2,0,1,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,260,448.4,0.007692307692307693,0.024754683318465656,1.7548780487804878,2.376829268292683,1.3365853658536584,45.96,0.06527415143603132
5,155,0,0,1,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,323,590.3,0.01238390092879257,0.015077079451126548,1.312258064516129,1.2316129032258065,1.264516129032258,59.63,0.040248197216166355
25,80,0,0,1,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,269,550.5,0.03345724907063197,0.014350590372388738,1.55375,2.1625,3.165,47.230000000000004,0.04509845437222104
41,78,0,0,1,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,310,695.2,0.02258064516129032,0.013665132336018411,3.2423076923076923,2.287179487179487,3.383333333333333,70.03,0.03669855776095959
17,90,0,0,1,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,243,497.4,0.02880658436213992,0.021310816244471252,1.99,2.1177777777777775,1.4188888888888889,52.4,0.05458015267175573
10,73,0,0,1,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,254,547.5,0.015748031496062992,0.023744292237442923,2.1931506849315068,2.9219178082191783,2.384931506849315,53.17999999999999,0.06600225648740128
17,99,0,0,1,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,276,596.4,0.010869565217391304,0.014587525150905433,2.002020202020202,2.093939393939394,1.9282828282828284,59.900000000000006,0.039232053422370614
42,120,1,0,1,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,331,588.7,0.015105740181268883,0.009002887718702224,1.7674999999999998,1.745,1.3933333333333333,61.379999999999995,0.023297491039426525
12,77,0,0,1,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,307,732.7,0.02280130293159609,0.01337518766207179,3.27012987012987,2.6714285714285713,3.574025974025974,72.67,0.036466217146002476
9,98,2,0,0,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,289,573.5999999999999,0.02768166089965398,0.0076708507670850785,1.6448979591836734,2.573469387755102,1.6346938775510202,56.050000000000004,0.021231043710972345
3,108,0,0,1,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,315,496.4,0.015873015873015872,0.029411764705882353,1.6509259259259261,1.75,1.1953703703703704,52.19,0.07549338953822572
40,95,1,0,1,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,307,563.9000000000001,0.029315960912052116,0.02216705089554885,1.4210526315789473,1.9326315789473683,2.582105263157895,49.6,0.06814516129032258
7,122,1,0,1,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,278,592.8,0.007194244604316547,0.01906207827260459,1.3975409836065573,1.4237704918032785,2.037704918032787,54.94,0.055515107389879866
17,95,1,0,1,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,278,615.3,0.014388489208633094,0.0191776369250772,2.506315789473684,1.9705263157894735,2.0,64.94,0.04912226670773021
28,36,2,0,0,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,291,670.8,0.020618556701030927,0.013416815742397139,7.816666666666666,5.616666666666666,5.199999999999999,73.45,0.03308373042886317
36,93,2,0,0,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,332,499.4,0.009036144578313253,0.019623548257909493,1.267741935483871,1.7688172043010753,2.3333333333333335,43.779999999999994,0.06052992233896757
30,157,1,0,1,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,319,619.1,0.0219435736677116,0.015506380229365206,1.4636942675159237,0.9420382165605096,1.537579617834395,62.5,0.04144
28,120,1,0,1,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,269,601.4,0.02973977695167286,0.013801130695044897,1.375,2.643333333333333,0.9933333333333334,60.370000000000005,0.0371045221136326
43,98,1,0,1,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,343,579.5999999999999,0.011661807580174927,0.020876466528640444,1.6428571428571428,1.9479591836734695,2.323469387755102,53.85,0.060724233983286906
29,125,1,0,1,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,312,580.5,0.022435897435897436,0.022911283376399656,1.0136,1.648,1.9824000000000002,50.199999999999996,0.07151394422310757
17,63,0,0,1,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,272,439.9,0.011029411764705883,0.021368492839281657,0.9349206349206349,2.692063492063492,3.3555555555555556,33.94,0.07483794932233354
41,36,2,1,0,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,337,590.0,0.017804154302670624,0.03389830508474576,5.466666666666667,7.080555555555556,3.841666666666667,61.35,0.08801955990220049
1,64,2,0,1,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,314,372.4,0.009554140127388535,0.038131041890440386,2.540625,2.3796875,0.8984375,43.18000000000001,0.08869847151459008
37,74,0,0,1,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,277,672.4,0.01444043321299639,0.013979773944080905,3.8175675675675675,2.9716216216216216,2.2972972972972974,74.37,0.03415355654161624
44,46,1,0,1,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,285,637.6,0.02456140350877193,0.020545796737766624,4.569565217391304,4.941304347826088,4.35,64.05,0.05526932084309134
14,41,1,0,0,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,311,497.8,0.00964630225080386,0.01446364001607071,5.214634146341464,3.458536585365854,3.468292682926829,54.800000000000004,0.03540145985401459
24,121,2,0,1,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,323,595.0,0.01238390092879257,0.01647058823529412,1.5760330578512396,1.5165289256198347,1.8247933884297522,57.96,0.04572118702553485
42,193,0,0,1,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,308,416.1,0.00974025974025974,0.027877913962989664,0.8854922279792746,0.6854922279792747,0.5849740932642488,45.379999999999995,0.06897311591009256
37,130,2,0,1,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,334,491.79999999999995,0.014970059880239521,0.01870679137860919,1.1861538461538461,0.8476923076923077,1.7492307692307694,45.81,0.05413665138616022
17,85,1,0,1,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,262,683.3,0.011450381679389313,0.017561832284501686,2.3694117647058826,2.6988235294117646,2.9705882352941178,65.1,0.049769585253456226
42,162,0,0,1,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,277,383.0,0.010830324909747292,0.023759791122715403,0.4364197530864198,0.9722222222222222,0.9555555555555556,32.38,0.07597282273008028
42,61,2,0,0,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,356,559.8,0.016853932584269662,0.01143265451947124,3.0737704918032787,2.40327868852459,3.6999999999999997,54.5,0.031743119266055046
14,92,1,0,1,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,299,460.4,0.013377926421404682,0.01998262380538662,0.9967391304347827,2.1054347826086954,1.9021739130434783,39.93,0.06210869020786376
44,90,0,0,1,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,329,510.1,0.0060790273556231,0.021368359145265633,1.6166666666666667,2.4188888888888886,1.6322222222222222,49.849999999999994,0.05897693079237714
31,75,1,0,1,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,291,581.2,0.01718213058419244,0.010495526496902958,2.2173333333333334,2.1093333333333333,3.4226666666666663,53.269999999999996,0.030974281959827297
1,78,0,0,1,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,375,722.8,0.008,0.01314333148865523,2.9615384615384617,2.953846153846154,3.351282051282051,70.61,0.036397110890808666
14,82,1,0,1,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,258,607.6,0.003875968992248062,0.011685319289005925,2.4426829268292685,2.453658536585366,2.5134146341463413,60.42,0.031777557100297914
25,163,1,0,1,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,317,606.0,0.031545741324921134,0.015016501650165015,1.2085889570552146,1.2429447852760735,1.2662576687116565,60.0,0.041
43,91,2,1,1,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,325,550.4000000000001,0.009230769230769232,0.02034883720930232,1.4274725274725275,1.9043956043956045,2.716483516483516,47.93,0.06300855414145629
22,127,2,0,0,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,264,573.3,0.030303030303030304,0.019536019536019536,1.44251968503937,0.9984251968503937,2.073228346456693,53.77,0.056165147851962055
37,113,0,0,0,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,220,515.6,0.022727272727272728,0.019782777346780446,1.8141592920353982,1.345132743362832,1.4035398230088496,54.910000000000004,0.05008195228555818
